DATE,Alkoholunfälle,Fluchtunfälle,Verkehrsunfälle
2000-01-01,78.0,835.0,3448.0
2000-02-01,53.0,890.0,3181.0
2000-03-01,73.0,974.0,3783.0
2000-04-01,78.0,834.0,3317.0
2000-05-01,96.0,1086.0,4123.0
2000-06-01,57.0,842.0,3329.0
2000-07-01,99.0,1102.0,4282.0
2000-08-01,77.0,881.0,3387.0
2000-09-01,84.0,978.0,3807.0
2000-10-01,83.0,1078.0,4117.0
2000-11-01,71.0,1017.0,3931.0
2000-12-01,85.0,950.0,3789.0
2001-01-01,66.0,871.0,3348.0
2001-02-01,49.0,820.0,3148.0
2001-03-01,63.0,962.0,3970.0
2001-04-01,68.0,897.0,3565.0
2001-05-01,85.0,1081.0,4128.0
2001-06-01,68.0,905.0,3715.0
2001-07-01,71.0,1047.0,4288.0
2001-08-01,60.0,814.0,3351.0
2001-09-01,107.0,953.0,3939.0
2001-10-01,77.0,1104.0,4250.0
2001-11-01,68.0,1001.0,4022.0
2001-12-01,66.0,941.0,3989.0
2002-01-01,44.0,852.0,3063.0
2002-02-01,49.0,817.0,2892.0
2002-03-01,61.0,897.0,3380.0
2002-04-01,65.0,784.0,3142.0
2002-05-01,58.0,857.0,3731.0
2002-06-01,74.0,987.0,3586.0
2002-07-01,84.0,1026.0,3960.0
2002-08-01,71.0,785.0,3007.0
2002-09-01,107.0,1039.0,3436.0
2002-10-01,83.0,1019.0,3859.0
2002-11-01,44.0,882.0,3529.0
2002-12-01,63.0,706.0,3023.0
2003-01-01,55.0,747.0,3073.0
2003-02-01,44.0,572.0,2968.0
2003-03-01,53.0,854.0,3060.0
2003-04-01,50.0,844.0,3106.0
2003-05-01,65.0,763.0,3255.0
2003-06-01,82.0,855.0,3139.0
2003-07-01,76.0,562.0,3321.0
2003-08-01,66.0,698.0,2837.0
2003-09-01,63.0,945.0,3393.0
2003-10-01,74.0,960.0,3631.0
2003-11-01,44.0,953.0,3325.0
2003-12-01,58.0,858.0,3527.0
